Masculine,Feminine,Common
actor,actress,addict
administrator,administratrix,adolescent
author,authoress,adult
bachelor,spinster,adviser
boy,girl,ancestor
Boy Scout,Girl Guide,artisan
brave,squaw,artist
bridegroom,bride,artiste
brother,sister,assistant
conductor,conductress,athlete
count,countess,baby
czar,czarina,breadwinner
dad,mum,bully
daddy,mummy,buyer
duke,duchess,captain
emperor,empress,castaway
father,mother,chairperson
father-in-law,mother-in-law,child
fiance,fiancee,citizen
gentleman,lady,clerk
giant,giantess,commoner
god,goddess,companion
governor,matron,comrade
grandfather,grandmother,conjuror
grandson,granddaughter,consultant
headmaster,headmistress,cook
heir,heiress,cousin
hero,heroine,criminal
host,hostess,customer
hunter,huntress,cyclist
husband,wife,dancer
king,queen,darling
lad,lass,dear
landlord,landlady,deceased
lord,lady,dentist
male,female,diner
man,woman,divorcee
manager,manageress,doctor
manservant,maidservant,driver
masseur,masseuse,enemy
master,mistress,expert
mayor,mayoress,fan
milkman,milkmaid,farmer
millionaire,millionairess,fishmonger
monitor,monitress,foreigner
monk,nun,friend
Mr.,Mrs.,gardener
murderer,murderess,graduate
Negro,Negress,guard
nephew,niece,guardian
papa,mama,guest
poet,poetess,guide
policeman,policewoman,gymnast
postman,postwoman,hawker
postmaster,postmistress,helper
priest,prietess,historian
prince,princess,hostage
prophet,prophetess,human being
proprietor,proprietress,immigrant
prosecutor,prosecutrix,infant
protector,protectress,informer
shepherd,shepherdess,jogger
sir,madam,journalist
son,daughter,judge
son-in-law,daughter-in-law,killer
step-father,step-mother,lawyer
step-son,step-daughter,leader
steward,stewardess,learner
sultan,sultana,lecturer
tailor,tailoress,lender
testator,testatrix,liar
uncle,aunt,librarian
usher,usherette,retiree
waiter,waitress,rumour-monger
washerman,washerwoman,runner
widower,widow,salesperson
wizard,witch,scientist
antelope: buck,doe,secretary
ass,jenny,seller
badger: boar ,sow,shopkeeper
boar,sow,shopper
boar (pig),sow,singer
bull,cow,smoker
bullock,heifer/cow,soldier
tom-cat,tabby-cat,speaker
cob (swan),pen,specialist
cock (rooster),hen,spectator
cockerel,pullet,spouse
colt (young horse),filly,spy
buck,doe,stranger
dog,bitch,student
donkey,jenny,surgeon
drake,duck,sweeper
drone,bee,teacher
eagle,eagle,teenager
elephant: bull-elephant,cow-elephant,thief
ferret: buck,doe,tot
fox,vixen,tourist
gander,goose,traveller
guinea pig: boar,sow,tutor
goat: billy-goat/he-goat,nanny-goat/she-goat,typist
hare: buck,doe,victim
hedgehog: boar,sow,visitor
kangaroo: buck,doe,volunteer
leopard,leopardess,well-wisher
lion,lioness,worker
peacock,peahen,worshipper
pig,sow,writer
cock-pigeon,hen-pigeon,magistrate
buck,doe,magician
ram ,ewe,manager
buck,doe,member
buck,doe,minister
bull,cow,motorist
bull-seal,cow-seal,murderer
sheep,ewe,musician
cock-sparrow,hen-sparrow,neighbour
stag,hind,newsreader
stallion,mare,novelist
tiger,tigress,officer
turkey-cock,turkey-hen,orphan
bull-whale,cow-whale,owner
he-wolf,she-wolf,paramedic
,,parent
,,passenger
,,passer-by
,,pedestrian
,,pen pal
,,pensioner
,,performer
,,person
,,photographer
,,pilot
,,player
,,principal
,,prisoner
,,professional
,,professor
,,pupil
,,reader
,,referee
,,refugee
,,relation
,,relative
,,ant
,,ape
,,ass
,,bear
,,bee
,,beetle
,,bird
,,butterfly
,,caterpillar
,,chicken
,,chimpanzee
,,cat
,,crab
,,crocodile
,,deer
,,eagle
,,fish
,,fly
,,fowl
,,frog
,,giraffe
,,goat
,,insect
,,lizard
,,moth
,,mouse
,,owl
,,penguin
,,prawn
,,shark
,,sheep
,,snail
,,snake
,,squirrel
,,swan
,,tadpole
,,tortoise
,,turtle
,,vulture
,,wasp
